date,timestamp,price,market_caps,total_volumes
2025-01-15,1736899200000,96574.07768799194,1912603332624.1123,51241728228.81719
2025-01-16,1736985600000,100313.15239828422,1986831430651.8647,57637319739.5434
2025-01-17,1737072000000,100044.57926776377,1980935754458.284,50150102497.2729
2025-01-18,1737158400000,104160.69358484232,2063854663834.0771,69135117732.00064
2025-01-19,1737244800000,104334.61575724394,2067151195362.0425,49416447749.13053
2025-01-20,1737331200000,101275.33714814208,2014842808849.5005,72970313683.92325
2025-01-21,1737417600000,101764.90860170544,2017837068202.1384,120158523166.88388
2025-01-22,1737504000000,106182.2368201815,2098829000928.49,95344290057.8965
2025-01-23,1737590400000,103673.53509537788,2054288661793.9773,55030669602.56557
2025-01-24,1737676800000,104067.60991206949,2062360759045.0,102455227371.2076
2025-01-25,1737763200000,104835.19253555956,2076156720642.786,51418786362.7815
2025-01-26,1737849600000,104796.04077738234,2077647817531.3408,22740744964.719296
2025-01-27,1737936000000,102552.24874280208,2036324005947.406,20639818380.26942
2025-01-28,1738022400000,101958.46953745594,2019295541213.5288,93191643783.2474
2025-01-29,1738108800000,101313.11264498268,2007072201507.5276,45780526813.56264
2025-01-30,1738195200000,103718.97939813643,2056581551171.7,47425401641.53094
2025-01-31,1738281600000,104781.5135100103,2076760153260.6191,42122570869.034325
2025-02-01,1738368000000,102382.39409722164,2028504133577.489,37187819228.35328
2025-02-02,1738454400000,100674.78762544956,1996423711261.7268,22827776122.48367
2025-02-03,1738540800000,97568.31653024876,1933691439792.2544,59784234332.21204
2025-02-04,1738627200000,101466.8606657039,2011121374511.8835,122163969235.23686
2025-02-05,1738713600000,98118.43921664466,1943535291172.16,73196693057.98114
2025-02-06,1738800000000,96582.88682919052,1912584628590.309,48848958931.79228
2025-02-07,1738886400000,96635.41875332213,1915093756057.564,44462180396.17252
2025-02-08,1738972800000,96558.4563096667,1911296376425.356,57077722340.22422
2025-02-09,1739059200000,96558.23762501092,1914211835440.1184,20760850644.84597
2025-02-10,1739145600000,96548.57865379583,1913068773356.083,25457107581.051964
2025-02-11,1739232000000,97399.98161383196,1930742951090.367,37054987393.57789
2025-02-12,1739318400000,95739.9773707924,1898788887978.3247,36454577154.5622
2025-02-13,1739404800000,97836.18856127484,1936842454813.9983,47115618235.19051
2025-02-14,1739491200000,96561.6639990985,1914315097486.3865,29084371910.69056
