YearMonth,avg_price,avg_market_caps,avg_total_volumes,price_mom_pct,market_cap_mom_pct,volumes_mom_pct
2025-01-01,102726.25314234893,2035845451001.435,61579954861.434525,,,
2025-02-01,95922.84913565071,1901298346871.2815,43151288596.37181,-6.622848394237312,-6.608905605480498,-29.92640430888651
2025-03-01,85158.74378752633,1689107251683.241,34727366264.718925,-11.221628053293298,-11.160326075979377,-19.52183261651467
2025-04-01,86068.12520336392,1708884655338.0479,33703871466.90465,1.0678661701569059,1.170879092200816,-2.947228390464174
2025-05-01,103284.77061411348,2051740080562.0808,33756527355.253445,20.003509278341603,20.06311099775251,0.15623097898560534
2025-06-01,105714.03237053214,2101498819285.0295,28416806491.48638,2.352003825902571,2.4251969922679972,-15.81833583642026
2025-07-01,115067.70320220456,2289032876966.922,40807734913.92329,8.848088207332228,8.923824080267394,43.6042256407285
2025-08-01,115082.6039365858,2291097588460.198,41066552012.61876,0.012949536635020742,0.09020016768008787,0.6342353949353008
2025-09-01,112961.94299270981,2250299593460.719,41325125058.565025,-1.8427293711954396,-1.7807183423774853,0.6296439152398525
2025-10-01,114210.48443995966,2276894041009.6045,70943561583.71452,1.1052761790140586,1.1818180844082926,71.67174081911409
2025-11-01,96898.73234287514,1933295632201.4521,72417561909.06508,-15.157760850042878,-15.090663097163548,2.077708381769372
2025-12-01,89006.476648461,1777066419376.1218,46099998058.147865,-8.144849270563704,-8.080978936854654,-36.34141105711933
2026-01-01,91152.65878452644,1820466466584.8962,40573602655.2442,2.411265131347662,2.4422298871648707,-11.98784302752679
